feature,Bact_Phoc,Firmicutes,Prevotella
Calidithermus,0.0,0.0,0.0
Campylobacter,0.0,0.0,0.0
Capnocytophaga,0.0,0.0,0.0
Caproiciproducens,0.0,0.0,0.0
Cardiobacterium,0.0,0.0,0.0
Carnobacterium,0.0,0.0,0.0
Caryophanon,0.0,0.0,0.0
Catenibacterium,0.0,0.0,0.0
Catonella,0.0,0.0,0.0
Caulobacter,0.0,0.0,0.0
Cedecea,0.0,0.0,0.0
Cellulomonas,0.0,0.0,0.0
Cellulophaga,0.0,0.0,0.0
Cellulosilyticum,0.0,0.0,0.0
Cellulosimicrobium,0.0,0.0,0.0
Cellvibrio,0.0,0.0,0.0
Centipeda,0.0,0.0,0.0
Cetobacterium,0.0,0.0,0.0
Chlamydia,0.0,0.0,0.0
Christensenella,0.0,0.0,0.0
Chromohalobacter,0.0,0.0,0.0
Chryseobacterium,0.0,0.0,0.0
Citricoccus,0.0,0.0,0.0
Citrobacter,0.0,0.0,0.0
Clavibacter,0.0,0.0,0.0
Cloacibacillus,0.0,0.0,0.0
Cloacibacterium,0.0,0.0,0.0
Clostridioides,0.0,0.0,0.0
Clostridium,0.003552397868561319,-0.001210653753026647,0.0
Collinsella,-0.001776198934280604,-0.001210653753026647,0.0
Comamonas,0.0,0.0,0.0
Companilactobacillus,0.0,0.0,0.0
Coprobacillus,0.0,0.0,0.0
Coprobacter,0.0,0.0,0.0
Coprococcus,0.003552397868561319,0.0,0.0
Coprothermobacter,0.0,0.0,0.0
Corynebacterium,0.0,0.0,0.0
Criibacterium,0.0,0.0,0.0
Croceibacterium,0.0,0.0,0.0
Cronobacter,0.0,0.0,0.0
Cruoricaptor,0.0,0.0,0.0
Cryptobacterium,0.0,0.0,0.0
Cupriavidus,0.0,0.0,0.0
Curtobacterium,0.0,0.0,0.0
Curvibacter,0.0,0.0,0.0
Cutibacterium,0.0,0.0,0.0
Cytobacillus,0.0,0.0,0.0
Deinococcus,0.0,0.0,0.0
Dellaglioa,0.0,0.0,0.0
Denitrobacterium,0.0,0.0,0.0
Dermabacter,0.0,0.0,0.0
Dermacoccus,0.0,0.0,0.0
Desulfomicrobium,0.0,0.0,0.0
Desulfotomaculum,0.0,0.0,0.0
Desulfovibrio,0.001776198934280604,0.001210653753026647,0.0
Dialister,0.001776198934280604,-0.001210653753026647,0.0
Diaphorobacter,0.0,0.0,0.0
Dickeya,0.0,0.0,0.0
Dielma,0.0,0.0,0.0
Dietzia,0.0,0.0,0.0
Dolosicoccus,0.0,0.0,0.0
Dolosigranulum,0.0,0.0,0.0
Dorea,0.0,0.001210653753026647,0.0
Dubosiella,0.0,0.0,0.0
Duganella,0.0,0.0,0.0
Dysgonomonas,0.0,0.0,0.0
Edwardsiella,0.0,0.0,0.0
Effusibacillus,0.0,0.0,0.0
Eggerthella,0.0,0.0,0.0
Eggerthia,0.0,0.0,0.0
Eikenella,0.0,0.0,0.0
Eisenbergiella,0.0,0.0,0.0034843205574912606
Elizabethkingia,0.0,0.0,0.0
Empedobacter,0.0,0.0,0.0
Enorma,0.0,0.0,0.0
Enterobacter,0.0,0.0,0.0
Enterocloster,0.003552397868561319,0.0,0.0
Enterococcus,0.001776198934280604,0.0,0.0
Enteroscipio,0.0,0.0,0.0
Enterovibrio,0.0,0.0,0.0
Eremococcus,0.0,0.0,0.0
Erwinia,0.0,0.0,0.0
Erysipelothrix,0.0,0.0,0.0
Erythrobacter,0.0,0.0,0.0
Eubacterium,0.0,0.0,0.0
Ewingella,0.0,0.0,0.0
Extibacter,0.0,0.0,0.0
Ezakiella,0.0,0.0,0.0
F0058,0.0,0.0,0.0
Facklamia,0.0,0.0,0.0
Faecalibacterium,0.01598579040852577,-0.001210653753026647,-0.0034843205574913716
Faecalibaculum,0.0,0.0,0.0
Faecalicoccus,0.0,0.0,0.0
Faecalimonas,0.0,0.001210653753026647,0.0
Faecalitalea,0.0,0.0,0.0
Fannyhessea,0.0,0.0,0.0
Fenollaria,0.0,0.0,0.0
Ferdinandcohnia,0.0,0.0,0.0
Fermentimonas,0.0,0.0,0.0
Fibrobacter,0.0,0.0,0.0
Filifactor,0.0,0.0,0.0
Finegoldia,0.0,0.0,0.0
Flavobacterium,0.0,0.0,0.0
Flavonifractor,0.0,0.0,-0.0034843205574913716
Flexilinea,0.0,0.0,0.0
Floricoccus,0.0,0.0,0.0
Fournierella,0.0,0.0,0.0
Franconibacter,0.0,0.0,0.0
Frigoribacterium,0.0,0.0,0.0
Frischella,0.0,0.0,0.0
Frisingicoccus,0.0,0.0,0.0
Fructilactobacillus,0.0,0.0,0.0
Fructobacillus,0.0,0.0,0.0
Furfurilactobacillus,0.0,0.0,0.0
Fusicatenibacter,0.005328596802841923,0.001210653753026647,0.0
Fusobacterium,0.0,0.0,0.0
Gabonibacter,0.0,0.0,0.0
Gallibacterium,0.0,0.0,0.0
Gemella,0.0,0.0,0.0
Gemmiger,0.001776198934280604,0.0,0.0034843205574912606
Geobacillus,0.0,0.0,0.0
Giesbergeria,0.0,0.0,0.0
Gilliamella,0.0,0.0,0.0
Gleimia,0.0,0.0,0.0
Globicatella,0.0,0.0,0.0
Glutamicibacter,0.0,0.0,0.0
Gordonia,0.0,0.0,0.0
Gordonibacter,0.0,0.0,0.0
Gottfriedia,0.0,0.0,0.0
Granulicatella,0.0,0.0,0.0
Gulbenkiania,0.0,0.0,0.0
Haematomicrobium,0.0,0.0,0.0
Haemophilus,0.0,0.0,0.0
Halalkalicoccus,0.0,0.0,0.0
Halomonas,0.0,0.0,0.0
Harryflintia,0.0,0.0,0.0
Helcococcus,0.0,0.0,0.0
Helicobacter,0.0,0.0,0.0
Holdemanella,0.003552397868561319,0.0,0.0
Holdemania,0.0,0.0,0.0
Hungatella,0.001776198934280604,0.0,0.0
Hydrogenoanaerobacterium,0.0,0.0,0.0
Hymenobacter,0.0,0.0,0.0
Ignavigranum,0.0,0.0,0.0
Intestinibacter,0.0,0.0,0.0
Intestinimonas,0.0,0.0,0.0
Janibacter,0.0,0.0,0.0
Janthinobacterium,0.0,0.0,0.0
Jeotgalibaca,0.0,0.0,0.0
Jeotgalicoccus,0.0,0.0,0.0
Johnsonella,0.0,0.0,0.0
Jonquetella,0.0,0.0,0.0
Kallipyga,0.0,0.0,0.0
Kandleria,0.0,0.0,0.0
Kineothrix,0.0,0.0,0.0
Klebsiella,0.003552397868561319,-0.001210653753026647,0.0
Kluyvera,0.0,0.0,0.0
Knoellia,0.0,0.0,0.0
Kocuria,0.0,0.0,0.0
Kosakonia,0.0,0.0,0.0
Kurthia,0.0,0.0,0.0
Kytococcus,0.0,0.0,0.0
Lachnoanaerobaculum,0.0,0.0,0.0
Lachnobacterium,0.0,0.0,0.0
Lachnoclostridium,0.0,0.0,0.0
Lachnospira,0.007104795737122527,-0.001210653753026647,0.0
Lacrimispora,0.0,0.0,0.0
Lacticaseibacillus,0.0,0.0,0.0
Lactiplantibacillus,0.0,0.0,0.0
Lactobacillus,0.0,0.0,0.0
Lactococcus,0.0,0.0,0.0
Lactonifactor,0.0,0.0,0.0
Lancefieldella,0.0,0.0,0.0
Lapidilactobacillus,0.0,0.0,0.0
Laribacter,0.0,0.0,0.0
Latilactobacillus,0.0,0.0,0.0
Lautropia,0.0,0.0,0.0
Lawsonella,0.0,0.0,0.0
Lawsonia,0.0,0.0,0.0
Leifsonia,0.0,0.0,0.0
Lelliottia,0.0,0.0,0.0
Leminorella,0.0,0.0,0.0
Lentilactobacillus,0.0,0.0,0.0
Leptotrichia,0.0,0.0,0.0
Leucobacter,0.0,0.0,0.0
Leuconostoc,0.0,0.0,0.0
Levilactobacillus,0.0,0.0,0.0
Ligilactobacillus,0.0,0.0,0.0
Limosilactobacillus,0.0,0.0,0.0
Liquorilactobacillus,0.0,0.0,0.0
Listeria,0.0,0.0,0.0
Loigolactobacillus,0.0,0.0,0.0
Longibaculum,0.0,0.0,0.0
Longicatena,0.0,0.0,0.0
Luteimonas,0.0,0.0,0.0
Lysinibacillus,0.0,0.0,0.0
Lysobacter,0.0,0.0,0.0
Mageeibacillus,0.0,0.0,0.0
Mailhella,0.0,0.0,0.0
Malikia,0.0,0.0,0.0
Margalitia,0.0,0.0,0.0
Marinilactibacillus,0.0,0.0,0.0
Marinobacter,0.0,0.0,0.0
Marmoricola,0.0,0.0,0.0
Marvinbryantia,0.0,0.0,0.0
Massilia,0.0,0.0,0.0
Massiliomicrobiota,0.0,0.0,0.0
Mediterraneibacter,0.0,0.0,0.0
Megamonas,0.001776198934280604,0.001210653753026647,0.006968641114982521
Megasphaera,0.0,0.0,0.0
Merdibacter,0.0,0.0,0.0
Mesomycoplasma,0.0,0.0,0.0
Mesorhizobium,0.0,0.0,0.0
Metamycoplasma,0.0,0.0,0.0
Methanobacterium,0.0,0.0,0.0
Methanobrevibacter,0.0,0.0,0.0
Methanocorpusculum,0.0,0.0,0.0
Methanoculleus,0.0,0.0,0.0
Methanomassiliicoccus,0.0,0.0,0.0
Methanosphaera,0.0,0.0,0.0
Methanothrix,0.0,0.0,0.0
Methylibium,0.0,0.0,0.0
Methylobacillus,0.0,0.0,0.0
Methylobacterium,0.0,0.0,0.0
Methylophilus,0.0,0.0,0.0
Methyloversatilis,0.0,0.0,0.0
Microbacterium,0.0,0.0,0.0
Micrococcus,0.0,0.0,0.0
Micromonospora,0.0,0.0,0.0
Microvirga,0.0,0.0,0.0
Microvirgula,0.0,0.0,0.0
Mitsuokella,0.0,0.0,0.0
Mixta,0.0,0.0,0.0
Mobiluncus,0.0,0.0,0.0
Moellerella,0.0,0.0,0.0
Mogibacterium,0.0,0.0,0.0
Monoglobus,0.0,0.0,0.0
Moraxella,0.0,0.0,0.0
Morganella,0.0,0.0,0.0
Mucispirillum,0.0,0.0,0.0
Murdochiella,0.0,0.0,0.0
Muribacter,0.0,0.0,0.0
Muribaculum,0.0,0.0,0.0
Muricomes,0.0,0.0,0.0
Mycobacterium,0.0,0.0,0.0
Mycoplasma,0.0,0.0,0.0
Mycoplasmopsis,0.0,0.0,0.0
Myroides,0.0,0.0,0.0
Myxococcus,0.0,0.0,0.0
Natronorubrum,0.0,0.0,0.0
Ndongobacter,0.0,0.0,0.0
Necropsobacter,0.0,0.0,0.0
Negativibacillus,0.0,0.001210653753026647,0.0
Negativicoccus,0.0,0.0,0.0
Neisseria,0.0,0.0,0.0
Neobacillus,0.0,0.0,0.0
Nesterenkonia,0.0,0.0,0.0
Niallia,0.0,0.0,0.0
Niastella,0.0,0.0,0.0
Nocardioides,0.0,0.0,0.0
Nocardiopsis,0.0,0.0,0.0
Nosocomiicoccus,0.0,0.0,0.0
Oceanobacillus,0.0,0.0,0.0
Odoribacter,-0.003552397868561319,0.0,0.0
Oenococcus,0.0,0.0,0.0
Oligella,0.0,0.0,0.0
Olsenella,0.0,0.0,0.0
Oribacterium,0.0,0.0,0.0
Oscillatoria,0.0,0.0,0.0
Oscillibacter,0.0,0.0,0.0
Ottowia,0.0,0.0,0.0
Oxalobacter,0.0,0.0,0.0
Paenibacillus,0.0,0.0,0.0
Paeniglutamicibacter,0.0,0.0,0.0
Pandoraea,0.0,0.0,0.0
Pannonibacter,0.0,0.0,0.0
Pantoea,0.0,0.0,0.0
Parabacteroides,0.003552397868561319,-0.003631961259079941,0.006968641114982521
Paraclostridium,0.0,0.0,0.0
Paracoccus,0.0,0.0,0.0
Parageobacillus,0.0,0.0,0.0
Paraprevotella,0.0,0.0,0.0034843205574912606
Parascardovia,0.0,0.0,0.0
Parasphingorhabdus,0.0,0.0,0.0
Parasutterella,0.001776198934280604,0.001210653753026647,0.0
Parolsenella,0.0,0.0,0.0
Parvimonas,0.0,0.0,0.0
Pasteurella,0.0,0.0,0.0
Paucilactobacillus,0.0,0.0,0.0
Pauljensenia,0.0,0.0,0.0
Pectobacterium,0.0,0.0,0.0
Pediococcus,0.0,0.0,0.0
Pelistega,0.0,0.0,0.0
Peptoanaerobacter,0.0,0.0,0.0
Peptococcus,0.0,0.0,0.0
Peptoniphilus,0.0,0.0,0.0
Peptostreptococcus,0.0,0.0,0.0
Peribacillus,0.0,0.0,0.0
Phaeobacter,0.0,0.0,0.0
Phascolarctobacterium,0.0,0.001210653753026647,-0.0034843205574913716
Phenylobacterium,0.0,0.0,0.0
Phocaeicola,0.37300177619893427,0.13922518159806296,0.0
Phocea,0.0,0.0,0.0
Phoenicibacter,0.0,0.0,0.0
Photobacterium,0.0,0.0,0.0
Phytobacter,0.0,0.0,0.0
Plesiomonas,0.0,0.0,0.0
Pluralibacter,0.0,0.0,0.0
Porphyromonas,0.001776198934280604,0.0,0.0
Prevotella,0.1403197158081705,0.15375302663438262,0.7804878048780487
Priestia,0.0,0.0,0.0
Propionibacterium,0.0,0.0,0.0
Propionimicrobium,0.0,0.0,0.0
Proteiniborus,0.0,0.0,0.0
Proteus,0.0,0.0,0.0
Providencia,0.0,0.0,0.0
Pseudidiomarina,0.0,0.0,0.0
Pseudoalteromonas,0.0,0.0,0.0
Pseudobutyrivibrio,0.0,0.0,0.0
Pseudochrobactrum,0.0,0.0,0.0
Pseudocitrobacter,0.0,0.0,0.0
Pseudoclavibacter,0.0,0.0,0.0
Pseudoflavonifractor,0.0,0.0,0.0
Pseudoglutamicibacter,0.0,0.0,0.0
Pseudoleptotrichia,0.0,0.0,0.0
Pseudomonas,0.0,0.0,0.0
Pseudonocardia,0.0,0.0,0.0
Pseudoramibacter,0.0,0.0,0.0
Pseudoxanthomonas,0.0,0.0,0.0
Psychrobacillus,0.0,0.0,0.0
Psychrobacter,0.0,0.0,0.0
Puia,0.0,0.0,0.0
Pyramidobacter,0.0,0.0,0.0
Rahnella,0.0,0.0,0.0
Ralstonia,0.0,0.0,0.0
Raoultella,0.0,0.0,0.0
Rathayibacter,0.0,0.0,0.0
Rhizobium,0.0,0.0,0.0
Rhodanobacter,0.0,0.0,0.0
Rhodococcus,0.0,0.0,0.0
Rhodopseudomonas,0.0,0.0,0.0
Rickettsia,0.0,0.0,0.0
Rikenella,0.0,0.0,0.0
Rivicola,0.0,0.0,0.0
Robinsoniella,0.0,0.0,0.0
Rodentibacter,0.0,0.0,0.0
Romboutsia,0.0,0.0,0.0
Roseburia,0.0,0.001210653753026647,0.0034843205574912606
Roseibium,0.0,0.0,0.0
Roseomonas,0.0,0.0,0.0
Rossellomorea,0.0,0.0,0.0
Rothia,0.0,0.0,0.0
Rouxiella,0.0,0.0,0.0
Ruminococcus,0.0,0.0,0.0
Ruthenibacterium,0.0,0.0,0.0
Saccharococcus,0.0,0.0,0.0
Saccharofermentans,0.0,0.0,0.0
Saccharomonospora,0.0,0.0,0.0
Saccharopolyspora,0.0,0.0,0.0
Salinicoccus,0.0,0.0,0.0
Salinicola,0.0,0.0,0.0
Salinivibrio,0.0,0.0,0.0
Salipiger,0.0,0.0,0.0
Salmonella,0.0,0.0,0.0
Sanguibacter,0.0,0.0,0.0
Scardovia,0.0,0.0,0.0
Schleiferilactobacillus,0.0,0.0,0.0
Schwartzia,0.0,0.0,0.0
Sebaldella,0.0,0.0,0.0
Secundilactobacillus,0.0,0.0,0.0
Sediminibacterium,0.0,0.0,0.0
Selenomonas,0.0,0.0,0.0
Sellimonas,0.0,0.0,0.0
Senegalimassilia,0.0,0.0,0.0
Serinicoccus,0.0,0.0,0.0
Serratia,0.0,0.0,0.0
Sharpea,0.0,0.0,0.0
Shewanella,0.0,0.0,0.0
Shimwellia,0.0,0.0,0.0
Shinella,0.0,0.0,0.0
Shuttleworthia,0.0,0.0,0.0
Siccibacter,0.0,0.0,0.0
Siminovitchia,0.0,0.0,0.0
Slackia,0.0,0.0,0.0
Sneathia,0.0,0.0,0.0
Snodgrassella,0.0,0.0,0.0
Solibacillus,0.0,0.0,0.0
Solirubrobacter,0.0,0.0,0.0
Sphaerotilus,0.0,0.0,0.0
Sphingobacterium,0.0,0.0,0.0
Sphingobium,0.0,0.0,0.0
Sphingomonas,0.0,0.0,0.0
Sphingopyxis,0.0,0.0,0.0
Spirillospora,0.0,0.0,0.0
Sporanaerobacter,0.0,0.0,0.0
Sporosarcina,0.0,0.0,0.0
Staphylococcus,0.0,0.0,0.0
Stenotrophomonas,0.0,0.0,0.0
Stomatobaculum,0.0,0.0,0.0
Streptobacillus,0.0,0.0,0.0
Streptococcus,0.001776198934280604,0.002421307506053294,-0.0034843205574913716
Streptomyces,0.0,0.0,0.0
Succinatimonas,0.0,0.0,0.0
Succiniclasticum,0.0,0.0,0.0
Succinivibrio,0.0,-0.001210653753026647,0.0034843205574912606
Sutterella,0.001776198934280604,0.001210653753026647,-0.0034843205574913716
Synergistes,0.0,0.0,0.0
Tannerella,0.0,0.0,0.0
Tatumella,0.0,0.0,0.0
Tepidimonas,0.0,0.0,0.0
Tepidiphilus,0.0,0.0,0.0
Terrisporobacter,0.0,-0.001210653753026647,0.0
Tetragenococcus,0.0,0.0,0.0
Thauera,0.0,0.0,0.0
Thermoanaerobacterium,0.0,0.0,0.0
Thermus,0.0,0.0,0.0
Tissierella,0.0,0.0,0.0
TM7x,0.0,0.0,0.0
Treponema,0.0,0.0,0.0
Tropheryma,0.0,0.0,0.0
Trueperella,0.0,0.0,0.0
Tsukamurella,0.0,0.0,0.0
Turicibacter,0.0,0.0,0.0
Turicimonas,0.0,0.0,0.0
Ureaplasma,0.0,0.0,0.0
Ureibacillus,0.0,0.0,0.0
Vagococcus,0.0,0.0,0.0
Varibaculum,0.0,0.0,0.0
Variovorax,0.0,0.0,0.0
Veillonella,0.001776198934280604,-0.001210653753026647,-0.0034843205574913716
Vibrio,0.0,0.0,0.0
Victivallis,0.0,0.002421307506053294,0.0
Virgibacillus,0.0,0.0,0.0
Viridibacillus,0.0,0.0,0.0
Vitreoscilla,0.0,0.0,0.0
Vogesella,0.0,0.0,0.0
W5053,0.0,0.0,0.0
Weissella,0.0,0.0,0.0
Weizmannia,0.0,0.0,0.0
Williamsia,0.0,0.0,0.0
Winkia,0.0,0.0,0.0
Wohlfahrtiimonas,0.0,0.0,0.0
Xanthomonas,0.0,0.0,0.0
Xenorhabdus,0.0,0.0,0.0
Yersinia,0.0,0.0,0.0
Yokenella,0.0,0.0,0.0
Zymomonas,0.0,0.0,0.0
